codigo_interno,nombre_municipio,departamento_nombre,cluster,censo,validos,no_votantes,blanco,no_marcados,votos_cepeda,pct_cepeda,votos_espriella,pct_espriella,votos_dignidad,brecha_vs_espriella,margen_pct
11091,TIMBIQUI,CAUCA,Pacífico afro,15903,7025,8878,28,7,6622,94.26,243,3.45,11,-6379,90.81
28040,COROZAL,SUCRE,Caribe + Magdalena Medio,50627,30942,19685,327,51,17816,57.57,11441,36.97,459,-6375,20.6
11004,ALMAGUER,CAUCA,Pacífico indígena/campesino,12877,7521,5356,109,68,6708,89.19,434,5.77,23,-6274,83.42
13040,SAN ANDRES DE SOTAVENTO,CORDOBA,Caribe + Magdalena Medio,32490,16905,15585,164,70,10960,64.83,4800,28.39,87,-6160,36.44
05040,MARIA LA BAJA,BOLIVAR,Caribe + Magdalena Medio,45030,16323,28707,204,58,10552,64.64,4495,27.53,143,-6057,37.11
11097,TOTORO,CAUCA,Pacífico indígena/campesino,13402,8069,5333,150,34,6753,83.69,813,10.07,40,-5940,73.62
23098,POLICARPA,NARIÑO,Sur andino Nariño,12814,8527,4287,404,91,6712,78.71,929,10.89,56,-5783,67.82
23133,TAMINANGO,NARIÑO,Sur andino Nariño,13880,8814,5066,157,26,7045,79.92,1302,14.77,48,-5743,65.15
11052,MORALES,CAUCA,Pacífico indígena/campesino,23285,14538,8747,497,137,9075,62.42,3359,23.1,151,-5716,39.32
23041,EL CHARCO,NARIÑO,Pacífico afro,17849,7383,10466,117,69,6318,85.57,621,8.41,34,-5697,77.16
11040,LA VEGA,CAUCA,Pacífico indígena/campesino,14985,8518,6467,117,49,6728,78.98,1046,12.27,31,-5682,66.71000000000001
23095,OLAYA HERRERA,NARIÑO,Pacífico afro,16429,6785,9644,75,19,6006,88.51,451,6.64,33,-5555,81.87
11088,TIMBIO,CAUCA,Pacífico indígena/campesino,28850,18702,10148,456,78,10696,57.19,5200,27.8,331,-5496,29.389999999999997
01080,CAREPA,ANTIOQUIA,Urabá,49440,22103,27337,582,87,12538,56.72,7089,32.07,502,-5449,24.65
23052,GUACHUCAL,NARIÑO,Sur andino Nariño,14894,9787,5107,156,35,7263,74.21,1879,19.19,116,-5384,55.019999999999996
12415,EL PASO,CESAR,Caribe norte,29903,16047,13856,223,37,10256,63.91,4907,30.57,107,-5349,33.339999999999996
23016,BARBACOAS,NARIÑO,Sur andino Nariño,24240,7919,16321,172,44,6204,78.34,873,11.02,60,-5331,67.32000000000001
28055,LOS PALMITOS,SUCRE,Caribe + Magdalena Medio,20200,11802,8398,91,26,8203,69.5,3040,25.75,69,-5163,43.75
12001,VALLEDUPAR,CESAR,Caribe norte,348470,188358,160112,3033,221,89773,47.66,84650,44.94,4237,-5123,2.719999999999999
64018,SAN MIGUEL (LA DORADA),PUTUMAYO,Amazonía,15922,7211,8711,193,29,5752,79.76,698,9.67,109,-5054,70.09
17019,ISTMINA,CHOCO,Pacífico afro,24332,8367,15965,217,44,6263,74.85,1230,14.7,88,-5033,60.14999999999999
11046,MERCADERES,CAUCA,Pacífico indígena/campesino,13969,8153,5816,246,92,6154,75.48,1206,14.79,46,-4948,60.690000000000005
11013,CAJIBIO,CAUCA,Pacífico indígena/campesino,26783,14475,12308,575,239,8348,57.67,3440,23.76,157,-4908,33.91
72006,CUMARIBO,VICHADA,Llanos petroleros,25298,7756,17542,72,45,6066,78.21,1230,15.85,44,-4836,62.35999999999999
01106,CHIGORODO,ANTIOQUIA,Urabá,53621,24344,29277,637,101,13171,54.1,8393,34.47,614,-4778,19.630000000000003
48010,MAICAO,LA GUAJIRA,Caribe norte,141996,49978,92018,836,115,25692,51.4,20966,41.95,599,-4726,9.449999999999996
23124,SAN PABLO,NARIÑO,Sur andino Nariño,11899,7037,4862,132,37,5664,80.48,955,13.57,61,-4709,66.91
48004,BARRANCAS,LA GUAJIRA,Caribe norte,27356,12190,15166,120,9,8124,66.64,3419,28.04,110,-4705,38.6
48002,ALBANIA,LA GUAJIRA,Caribe norte,22201,9887,12314,118,34,7040,71.2,2387,24.14,75,-4653,47.06
13060,TUCHIN,CORDOBA,Caribe + Magdalena Medio,28195,13883,14312,150,94,8706,62.7,4055,29.2,78,-4651,33.5
13046,SAN BERNARDO DEL VIENTO,CORDOBA,Caribe + Magdalena Medio,28983,12747,16236,152,38,8369,65.65,3764,29.52,57,-4605,36.13000000000001
17006,ALTO BAUDO (PIE DE PATO),CHOCO,Pacífico afro,12001,4964,7037,7,13,4717,95.02,146,2.94,9,-4571,92.08
48007,FONSECA,LA GUAJIRA,Caribe norte,32395,15065,17330,215,20,9393,62.34,4835,32.09,173,-4558,30.25
48016,URIBIA,LA GUAJIRA,Caribe norte,131218,22269,108949,295,172,12551,56.36,8026,36.04,148,-4525,20.32
01088,CAUCASIA,ANTIOQUIA,Antioquia rural uribista,77720,37015,40705,972,140,18877,50.99,14390,38.87,771,-4487,12.120000000000005
31025,BUGALAGRANDE,VALLE,Valle del Cauca,20937,11935,9002,177,30,7580,63.51,3123,26.16,252,-4457,37.349999999999994
64030,VILLAGARZON,PUTUMAYO,Amazonía,21204,10845,10359,234,34,7115,65.6,2719,25.07,160,-4396,40.529999999999994
28200,SAN MARCOS,SUCRE,Caribe + Magdalena Medio,48063,22019,26044,294,63,12422,56.41,8058,36.59,159,-4364,19.819999999999993
68001,MITU,VAUPES,Amazonía,19993,7450,12543,121,23,5531,74.24,1206,16.18,121,-4325,58.059999999999995
23118,SANDONA,NARIÑO,Sur andino Nariño,17371,10364,7007,179,31,6899,66.56,2596,25.04,202,-4303,41.52
23031,CORDOBA,NARIÑO,Sur andino Nariño,11429,6523,4906,123,23,5158,79.07,887,13.59,48,-4271,65.47999999999999
17034,RIOSUCIO,CHOCO,Pacífico afro,14222,5845,8377,57,16,4914,84.07,655,11.2,34,-4259,72.86999999999999
23112,ROBERTO PAYAN (SAN JOSE),NARIÑO,Sur andino Nariño,10139,4562,5577,29,4,4325,94.8,113,2.47,11,-4212,92.33
12150,AGUSTIN CODAZZI,CESAR,Caribe norte,54027,25097,28930,304,61,13803,54.99,9641,38.41,366,-4162,16.580000000000005
17038,EL LITORAL DEL SAN JUAN,CHOCO,Pacífico afro,9194,4328,4866,16,6,4179,96.55,95,2.19,6,-4084,94.36
11043,LOPEZ (MICAY),CAUCA,Pacífico indígena/campesino,13722,4775,8947,70,27,4297,89.98,254,5.31,11,-4043,84.67
48011,MANAURE,LA GUAJIRA,Caribe norte,63985,13180,50805,165,74,7997,60.67,3967,30.09,104,-4030,30.580000000000002
11061,PIENDAMO,CAUCA,Pacífico indígena/campesino,32375,18644,13731,536,101,9752,52.3,5760,30.89,434,-3992,21.409999999999997
05121,TURBANA,BOLIVAR,Caribe + Magdalena Medio,17065,8482,8583,109,25,5995,70.67,2028,23.9,92,-3967,46.77
21030,EL RETEN,MAGDALENA,Caribe norte,16758,6874,9884,95,26,5223,75.98,1257,18.28,42,-3966,57.7
23055,GUAITARILLA,NARIÑO,Sur andino Nariño,11112,6238,4874,73,10,4863,77.95,906,14.52,60,-3957,63.43000000000001
52074,URIBE,META,Llanos petroleros,7620,4962,2658,68,20,4282,86.29,442,8.9,36,-3840,77.39
23109,RICAURTE,NARIÑO,Sur andino Nariño,18749,6821,11928,74,49,5048,74.0,1241,18.19,51,-3807,55.81
23038,CHACHAGUI,NARIÑO,Sur andino Nariño,11645,7929,3716,118,24,5575,70.31,1807,22.78,89,-3768,47.53
