codigo_interno,nombre_municipio,departamento_nombre,cluster,censo,validos,no_votantes,blanco,no_marcados,votos_cepeda,pct_cepeda,votos_espriella,pct_espriella,votos_dignidad,brecha_vs_espriella,margen_pct
29115,SUAREZ,TOLIMA,Sur Tolima-Huila-Caquetá,4811,2707,2104,37,11,697,25.74,1472,54.37,28,775,-28.63
01191,NECHI,ANTIOQUIA,Antioquia rural uribista,22120,6357,15763,104,21,2469,38.83,3241,50.98,58,772,-12.149999999999999
31013,ARGELIA,VALLE,Valle del Cauca,5755,2729,3026,32,7,586,21.47,1357,49.72,49,771,-28.25
07274,SOCHA,BOYACA,Boyacá-Cundi rural,6834,3903,2931,59,5,1120,28.69,1879,48.14,93,759,-19.45
21048,PIJIÑO DEL CARMEN,MAGDALENA,Caribe norte,10033,4690,5343,55,18,1834,39.1,2588,55.18,23,754,-16.08
19043,HOBO,HUILA,Sur Tolima-Huila-Caquetá,6401,3513,2888,74,8,1153,32.82,1901,54.11,43,748,-21.29
26070,PIJAO,QUINDIO,Eje cafetero,5768,2987,2781,49,23,859,28.75,1578,52.82,70,719,-24.07
01170,LA PINTADA,ANTIOQUIA,Antioquia rural uribista,7480,3709,3771,82,17,1191,32.11,1908,51.44,89,717,-19.33
07282,SORACA,BOYACA,Boyacá-Cundi rural,6416,3961,2455,61,10,1207,30.47,1921,48.49,110,714,-18.020000000000003
07010,ARCABUCO,BOYACA,Boyacá-Cundi rural,5165,3314,1851,61,8,1019,30.74,1718,51.84,127,699,-21.100000000000005
09078,NORCASIA,CALDAS,Eje cafetero,6716,3203,3513,91,24,941,29.37,1622,50.64,77,681,-21.27
01061,BURITICA,ANTIOQUIA,Antioquia rural uribista,8556,3470,5086,107,22,1075,30.97,1749,50.4,97,674,-19.43
21046,PEDRAZA,MAGDALENA,Caribe norte,11054,3794,7260,26,18,1430,37.69,2096,55.24,24,666,-17.550000000000004
05110,TALAIGUA NUEVO,BOLIVAR,Caribe + Magdalena Medio,10594,5244,5350,47,5,2177,41.51,2840,54.15,21,663,-12.64
07151,MIRAFLORES,BOYACA,Boyacá-Cundi rural,7629,5026,2603,100,8,1900,37.8,2562,50.97,115,662,-13.170000000000002
44020,SAN JOSE DEL FRAGUA,CAQUETA,Sur Tolima-Huila-Caquetá,10807,5130,5677,134,34,1930,37.62,2568,50.05,69,638,-12.43
27106,GUEPSA,SANTANDER,Santanderes rurales,4500,2337,2163,38,10,722,30.89,1353,57.89,34,631,-27.0
01271,TARSO,ANTIOQUIA,Antioquia rural uribista,6068,2890,3178,67,14,754,26.08,1374,47.54,83,620,-21.46
01289,VALPARAISO,ANTIOQUIA,Antioquia rural uribista,5677,3165,2512,52,9,937,29.6,1550,48.97,78,613,-19.369999999999997
27167,PUERTO PARRA,SANTANDER,Magdalena Medio,6703,3375,3328,59,13,1180,34.96,1786,52.91,34,606,-17.949999999999996
09022,BELALCAZAR,CALDAS,Eje cafetero,10328,5229,5099,93,31,1331,25.45,1930,36.9,81,599,-11.45
52006,BARRANCA DE UPIA,META,Llanos petroleros,5885,3611,2274,82,6,1226,33.95,1818,50.34,55,592,-16.39
09052,LA MERCED,CALDAS,Eje cafetero,5647,2808,2839,47,22,657,23.39,1233,43.91,82,576,-20.519999999999996
31046,EL CAIRO,VALLE,Valle del Cauca,6468,2784,3684,55,20,739,26.54,1311,47.09,67,572,-20.550000000000004
01130,GIRALDO,ANTIOQUIA,Antioquia rural uribista,5222,2836,2386,63,8,876,30.88,1446,50.98,102,570,-20.099999999999998
15337,ZIPACON,CUNDINAMARCA,Bogotá región,4351,2935,1416,54,6,895,30.49,1444,49.19,81,549,-18.7
01028,ANORI,ANTIOQUIA,Antioquia rural uribista,13703,3758,9945,143,29,1275,33.92,1811,48.19,152,536,-14.269999999999996
07310,TINJACA,BOYACA,Boyacá-Cundi rural,3116,2278,838,21,4,732,32.13,1237,54.3,88,505,-22.169999999999995
44012,CURILLO,CAQUETA,Sur Tolima-Huila-Caquetá,7736,2851,4885,82,17,988,34.65,1475,51.73,39,487,-17.08
17016,EL CARMEN,CHOCO,Pacífico afro,7263,3810,3453,52,22,1376,36.11,1862,48.87,106,486,-12.759999999999998
44024,SOLITA,CAQUETA,Sur Tolima-Huila-Caquetá,6175,2282,3893,107,22,744,32.6,1227,53.76,28,483,-21.159999999999997
21013,CERRO DE SAN ANTONIO,MAGDALENA,Caribe norte,9175,3270,5905,20,12,1312,40.12,1769,54.09,23,457,-13.970000000000006
15283,TIBACUY,CUNDINAMARCA,Bogotá región,4579,2918,1661,27,10,1021,34.98,1478,50.65,63,457,-15.670000000000002
05078,SAN JACINTO DEL CAUCA,BOLIVAR,Caribe + Magdalena Medio,7467,3012,4455,25,9,1134,37.64,1589,52.75,12,455,-15.11
07251,SANTA MARIA,BOYACA,Boyacá-Cundi rural,3134,1908,1226,57,3,625,32.75,1072,56.18,48,447,-23.43
09120,SAN JOSE,CALDAS,Eje cafetero,4960,2642,2318,42,15,628,23.76,1075,40.68,51,447,-16.919999999999998
15196,PANDI,CUNDINAMARCA,Bogotá región,4419,2560,1859,36,10,893,34.88,1336,52.18,51,443,-17.299999999999997
24013,BALBOA,RISARALDA,Eje cafetero,5890,2968,2922,68,15,978,32.95,1410,47.5,92,432,-14.549999999999997
27103,GUAVATA,SANTANDER,Santanderes rurales,4587,2571,2016,38,8,841,32.71,1264,49.16,30,423,-16.449999999999996
29124,VILLAHERMOSA,TOLIMA,Sur Tolima-Huila-Caquetá,7010,3286,3724,84,23,805,24.49,1214,36.94,72,409,-12.45
07077,CHIVATA,BOYACA,Boyacá-Cundi rural,3355,2245,1110,35,4,659,29.35,1067,47.52,99,408,-18.17
07055,CORRALES,BOYACA,Boyacá-Cundi rural,2423,1722,701,20,5,524,30.42,931,54.06,66,407,-23.64
01277,TOLEDO,ANTIOQUIA,Antioquia rural uribista,4694,1729,2965,94,34,426,24.63,822,47.54,80,396,-22.91
07331,TUTAZA,BOYACA,Boyacá-Cundi rural,2095,1306,789,23,2,336,25.72,727,55.66,53,391,-29.939999999999998
19050,NATAGA,HUILA,Sur Tolima-Huila-Caquetá,5408,2823,2585,79,14,899,31.84,1268,44.91,30,369,-13.069999999999997
52047,PUERTO CONCORDIA,META,Llanos petroleros,7459,3555,3904,69,18,1359,38.22,1726,48.55,39,367,-10.329999999999998
26005,BUENAVISTA,QUINDIO,Eje cafetero,2678,1528,1150,14,3,472,30.89,815,53.33,50,343,-22.439999999999998
05065,RIOVIEJO,BOLIVAR,Caribe + Magdalena Medio,7017,3300,3717,43,9,1358,41.15,1701,51.54,24,343,-10.39
